"date","state","cases","deaths"
"2020-01-21","Washington",1,0
"2020-01-22","Washington",1,0
"2020-01-23","Washington",1,0
"2020-01-24","Illinois",1,0
"2020-01-24","Washington",1,0
"2020-01-25","California",1,0
"2020-01-25","Illinois",1,0
"2020-01-25","Washington",1,0
"2020-01-26","Arizona",1,0
"2020-01-26","California",2,0
"2020-01-26","Illinois",1,0
"2020-01-26","Washington",1,0
"2020-01-27","Arizona",1,0
"2020-01-27","California",2,0
"2020-01-27","Illinois",1,0
"2020-01-27","Washington",1,0
"2020-01-28","Arizona",1,0
"2020-01-28","California",2,0
"2020-01-28","Illinois",1,0
"2020-01-28","Washington",1,0
"2020-01-29","Arizona",1,0
"2020-01-29","California",2,0
"2020-01-29","Illinois",1,0
"2020-01-29","Washington",1,0
"2020-01-30","Arizona",1,0
"2020-01-30","California",2,0
"2020-01-30","Illinois",2,0
"2020-01-30","Washington",1,0
"2020-01-31","Arizona",1,0
"2020-01-31","California",3,0
"2020-01-31","Illinois",2,0
"2020-01-31","Washington",1,0
"2020-02-01","Arizona",1,0
"2020-02-01","California",3,0
"2020-02-01","Illinois",2,0
"2020-02-01","Massachusetts",1,0
"2020-02-01","Washington",1,0
"2020-02-02","Arizona",1,0
"2020-02-02","California",6,0
"2020-02-02","Illinois",2,0
"2020-02-02","Massachusetts",1,0
"2020-02-02","Washington",1,0
"2020-02-03","Arizona",1,0
"2020-02-03","California",6,0
"2020-02-03","Illinois",2,0
"2020-02-03","Massachusetts",1,0
"2020-02-03","Washington",1,0
"2020-02-04","Arizona",1,0
"2020-02-04","California",6,0
"2020-02-04","Illinois",2,0
"2020-02-04","Massachusetts",1,0
"2020-02-04","Washington",1,0
"2020-02-05","Arizona",1,0
"2020-02-05","California",6,0
"2020-02-05","Illinois",2,0
"2020-02-05","Massachusetts",1,0
"2020-02-05","Washington",1,0
"2020-02-05","Wisconsin",1,0
"2020-02-06","Arizona",1,0
"2020-02-06","California",6,0
"2020-02-06","Illinois",2,0
"2020-02-06","Massachusetts",1,0
"2020-02-06","Washington",1,0
"2020-02-06","Wisconsin",1,0
"2020-02-07","Arizona",1,0
"2020-02-07","California",6,0
"2020-02-07","Illinois",2,0
"2020-02-07","Massachusetts",1,0
"2020-02-07","Washington",1,0
"2020-02-07","Wisconsin",1,0
"2020-02-08","Arizona",1,0
"2020-02-08","California",6,0
"2020-02-08","Illinois",2,0
"2020-02-08","Massachusetts",1,0
"2020-02-08","Washington",1,0
"2020-02-08","Wisconsin",1,0
"2020-02-09","Arizona",1,0
"2020-02-09","California",6,0
"2020-02-09","Illinois",2,0
"2020-02-09","Massachusetts",1,0
"2020-02-09","Washington",1,0
"2020-02-09","Wisconsin",1,0
"2020-02-10","Arizona",1,0
"2020-02-10","California",7,0
"2020-02-10","Illinois",2,0
"2020-02-10","Massachusetts",1,0
"2020-02-10","Washington",1,0
"2020-02-10","Wisconsin",1,0
"2020-02-11","Arizona",1,0
"2020-02-11","California",7,0
"2020-02-11","Illinois",2,0
"2020-02-11","Massachusetts",1,0
"2020-02-11","Washington",1,0
"2020-02-11","Wisconsin",1,0
"2020-02-12","Arizona",1,0
"2020-02-12","California",7,0
"2020-02-12","Illinois",2,0
"2020-02-12","Massachusetts",1,0
"2020-02-12","Texas",1,0
"2020-02-12","Washington",1,0
"2020-02-12","Wisconsin",1,0
"2020-02-13","Arizona",1,0
"2020-02-13","California",7,0
"2020-02-13","Illinois",2,0
"2020-02-13","Massachusetts",1,0
"2020-02-13","Texas",2,0
"2020-02-13","Washington",1,0
"2020-02-13","Wisconsin",1,0
"2020-02-14","Arizona",1,0
"2020-02-14","California",7,0
"2020-02-14","Illinois",2,0
"2020-02-14","Massachusetts",1,0
"2020-02-14","Texas",2,0
"2020-02-14","Washington",1,0
"2020-02-14","Wisconsin",1,0
"2020-02-15","Arizona",1,0
"2020-02-15","California",7,0
"2020-02-15","Illinois",2,0
"2020-02-15","Massachusetts",1,0
"2020-02-15","Texas",2,0
"2020-02-15","Washington",1,0
"2020-02-15","Wisconsin",1,0
"2020-02-16","Arizona",1,0
"2020-02-16","California",7,0
"2020-02-16","Illinois",2,0
"2020-02-16","Massachusetts",1,0
"2020-02-16","Texas",2,0
"2020-02-16","Washington",1,0
"2020-02-16","Wisconsin",1,0
"2020-02-17","Arizona",1,0
"2020-02-17","California",7,0
"2020-02-17","Illinois",2,0
"2020-02-17","Massachusetts",1,0
"2020-02-17","Nebraska",10,0
"2020-02-17","Texas",2,0
"2020-02-17","Washington",1,0
"2020-02-17","Wisconsin",1,0
"2020-02-18","Arizona",1,0
"2020-02-18","California",7,0
"2020-02-18","Illinois",2,0
"2020-02-18","Massachusetts",1,0
"2020-02-18","Nebraska",10,0
"2020-02-18","Texas",2,0
"2020-02-18","Washington",1,0
"2020-02-18","Wisconsin",1,0
"2020-02-19","Arizona",1,0
"2020-02-19","California",7,0
"2020-02-19","Illinois",2,0
"2020-02-19","Massachusetts",1,0
"2020-02-19","Nebraska",10,0
"2020-02-19","Texas",2,0
"2020-02-19","Washington",1,0
"2020-02-19","Wisconsin",1,0
"2020-02-20","Arizona",1,0
"2020-02-20","California",8,0
"2020-02-20","Illinois",2,0
"2020-02-20","Massachusetts",1,0
"2020-02-20","Nebraska",11,0
"2020-02-20","Texas",2,0
"2020-02-20","Washington",1,0
"2020-02-20","Wisconsin",1,0
"2020-02-21","Arizona",1,0
"2020-02-21","California",9,0
"2020-02-21","Illinois",2,0
"2020-02-21","Massachusetts",1,0
"2020-02-21","Nebraska",11,0
"2020-02-21","Texas",4,0
"2020-02-21","Washington",1,0
"2020-02-21","Wisconsin",1,0
"2020-02-22","Arizona",1,0
"2020-02-22","California",9,0
"2020-02-22","Illinois",2,0
"2020-02-22","Massachusetts",1,0
"2020-02-22","Nebraska",11,0
"2020-02-22","Texas",4,0
"2020-02-22","Washington",1,0
"2020-02-22","Wisconsin",1,0
"2020-02-23","Arizona",1,0
"2020-02-23","California",9,0
"2020-02-23","Illinois",2,0
"2020-02-23","Massachusetts",1,0
"2020-02-23","Nebraska",11,0
"2020-02-23","Texas",4,0
"2020-02-23","Washington",1,0
"2020-02-23","Wisconsin",1,0
"2020-02-24","Arizona",1,0
"2020-02-24","California",11,0
"2020-02-24","Illinois",2,0
"2020-02-24","Massachusetts",1,0
"2020-02-24","Nebraska",12,0
"2020-02-24","Texas",10,0
"2020-02-24","Washington",5,0
"2020-02-24","Wisconsin",1,0
"2020-02-25","Arizona",1,0
"2020-02-25","California",11,0
"2020-02-25","Illinois",2,0
"2020-02-25","Massachusetts",1,0
"2020-02-25","Nebraska",13,0
"2020-02-25","Texas",10,0
"2020-02-25","Utah",1,0
"2020-02-25","Washington",5,0
"2020-02-25","Wisconsin",1,0
"2020-02-26","Arizona",1,0
"2020-02-26","California",26,0
"2020-02-26","Illinois",2,0
